School Name,Address,Phone number,Mail,Website,Board
"SERRA International, NIBM, Pune","SERRA International Bungalow no.21, Dhunjeebhoy & Sanas Society, Behind BizzBay Mall, Opp Clover Hills, NIBM road, Kondhwa, Pune",+91 9763777778,info.nibm@serrapreschools.com,http://www.serrapreschools.com/en/school/nibm.html,
"Serra International, Sopan Baug, Pune","SERRA International 4, Sopan Baug, 65/2B, Near Amar Ambience Society, Empress Tower lane, Pune – 411 001","+91 02 2671 1156, +91 95451 03333",info.sopanbaug@serrapreschools.com,http://www.serrapreschools.com/en/school/pune-sopan-baug.html,
"Shri Parshwa Pradnyalaya Dnyan Sanskar Mandir, Talegaon Dabhade, Pune",DNYAN SANSKAR MANDIR OLD MUMBAI PUNE HIGH WAY NEAR CRPF TALEGAON DABHADE MAHARASHTRA,"02114 329858, 02114329858",spdsmtgn@yahoo.co.in,,CBSE
"Shrimati Godavari Hindi Primary School, Pune","Mumbai -Pune Road, Akurdi",02027474257,,,Maharashtra State
"Sindhu Vidya Bhavan High School, Pune","352 Sindh Society Sadhu Vaswani NagarAundh, Pune(Maharashtra), IndiaPin-411007",25851816/ 25851816,sindhuvidyabhavan@yahoo.com,http://sindhuvidya.com/#,CBSE
"St. Mary's School, Pune","St. Mary's School, 5-B, General Bhagat Marg,Pune, Maharashtra, INDIA Pin 411001",(0)20 - 26356282,n.a.,http://www.smspune.com/,ICSE
"The Heritage School, Pune","S. No. 127, Vill Ambi Jalegaon, Dabhade, Distt Mavel, Pune Maharshtra",02114 281313,response@heritageschoolpune.com,http://www.heritageschoolpune.com/,CBSE
"Tree House High School, Pune","Tree House High School Pune12, Dudhane Nagar, Opp. Kakade CityKarve NagarPune - 411052",020 – 64510054,pune@treehousehighschool.com,http://www.treehousehighschool.com/pune/,ICSE
"Tree House High School, Pune","Tree House High School38, Pokale Mala, Kondhwa KhurdPune - 411048",+ 91- 020 - 64510011,punekondhwa@treehousehighschool.com,http://www.treehousehighschool.com/pune_kondhwa,IGCSE
"Tree House High School Sus, Pune","Tree House High School Sus, PuneNear Aarohi Projects, Sus, Pune - 411021.",020 60504036,punesus@treehousehighschool.com,http://www.treehousehighschool.com/sus_pune/,ICSE
"Victorious Kidss Educares, Pune","Survey No. 53, 54 & 58, Hissa 2/1AOff. Shreeram Society,Nagar Road, Kharadi",02066355566,reachonline@victoriouskidsseducares.org,http://www.victoriouskidsseducares.org/,IB
"Vidya Pratishthans English Medium School, PUNE","MIDC, Bhigwan Road, Bhigwan Road, Baramati, Pune, Maharastra","02112 43608, 43141, 43141 43141",vpems_baramati@yahoo.co.in,,CBSE
"Vikhe Patil Memorial School, Pune","Patrakar Nagar, Off Senapati Bapat Road,Pune - 411016","020-25658170, 25660050 ",contact@vpmspune.org,,CBSE
"Abagus Vision Education Foundation, Pune",Tejas SocietyEx-Servicemen Colony,020-25389142,,,CBSE
"Abasaheb Atre English Medium School, Pune"," 		S No 352, Somwar Peth, Pune - 411002",(91)-(20)-26129561 ,,,Maharashtra State
"Abhinav Education Soc English Medium School & Jr College, Pune","S.No. 13,Ambegoan(Bk), Katraj-Dehu Road Bypass, Pune-411046","020-24319098, 24317897, 32909304",,http://ambegaonschool.abhinavsociety.org/,Maharastra State
"Abhinav Vidyalaya English Medium School, Pune","102/103, Nr Telephone Exchange Nr Sarve Darshan, Karve Rd, Erandwane, Pune - 411004","+(91)-(20)-25443937,25433063,25453555", ,,Maharastra State
"Abhinav Vidyalaya Marathi Medium High School, Pune","47/17, Erandawane, Karve Road, Pune","020-25431018, 25447209",cslatkar@asm.ac.in,http://www.asm.ac.in/avhs_mm/avmmhs_index.htm,Maharashtra State
"Abhinav Vidyalaya Prathmik Marathi Shala, Pune","Abhinav Vidyalaya Prathmik Marathi Shala47/7-10/3 ErandwanaDeccan Gymkhana, Pune-411004",+91 (20) 25430873,,,Maharashtra State
"Abhinava Vidyalaya English Medium Pre-Primary School, Pune","47/9A, Erandavane, Off Karve Road, Nal Stop, Pune- 411004",020-25433063,,http://www.asm.ac.in/avempps/indexavempps.htm,Maharashtra State
"Acharya Shri Vijay Vallabha, Pune","Acharya Shri Vijay Vallabha, 1111/14, Rajasthani Jain Prajarak Trust Prarthmic Shala, Bhavani Peth, Jawaharlal Nehru Rd, Sadar Bazaar, Pune, Pune, Maharashtra 411002",020 26347665,,,Maharashtra State
"Adarsh Bal Mandir, Pune",Adarsh Bal MandirSandwik RoadGavalli NagarPune Maharashtra,,,,Maharashtra State
"Adarsh Open School, Pune","		174, Old Poolgate Opp Nursing Home, M G Rd, Camp, Pune - 411001",+(91)-9372403180,,,Maharashtra State
"Adarsh Vidya Mandir, Pune"," 		Sasane Nagar, Hadapsar, Pune - 411028",(91)-(20)-26996812,,,Maharashtra State
"Adarsha Madhyamik Vidyalaya, Pune",#54Dalvi NagarMundhwa,020-26873301,,,CBSE
"Adarsha School, Pune",#1367Shukrawar PethPune City H.O.,020-24477306,,,CBSE
"Adarsha Vidyalaya Girls High School, Pune","Adarsha Vidyalaya Girls High School#1367/68 Shukrawar Peth Pune City H.O.Pune - 411002 (Maharashtra), India",020-24476542,,,CBSE
"Adhar Mook Badhir Vidyalaya, Pune","S No 670/71, Nr Bank Of Maharashtra, Bibvewadi, Pune - 411037",+91 20 2428 2252,contact.aadhaar@gmail.com,http://www.aadharschool.org/,Maharashtra State
"Agarkar High School for Girls, Pune",#442Somwar PethKasba Peth,020-26127166,,,CBSE
"Ahilyadevi Highschool For Girls, Pune","Holkar Wada, Shaniwar Peth, Pune - 411030","+(91)-(20)-24450690,24491804",ahsgp@despune.org,http://www.despune.org/ahilyadevihighschool/,Maharastra State
"Ahura English Medium School, Pune","Fatima Nagar, Pune - 411040",+(91)-(20)-25120276,,,Maharashtra State
"Air Force Nursery School New Project, Pune","Address: Lohgaon Road, Lohgaon I.A.F. StationCity: PuneState: MaharashtraPincode: 411032Phone: 020-26614597",020-26614597,,,CBSE
"Akshara International Elementary School, PUNE","Pallod Farm Phase 1, Opp Petrol Pump Lane Adjoining Talentica Building, Baner Road, Baner, Pune - 411045", +(91)-(20)-27293969 ,,,ICSE
Aksharkala - Pune Schools,"Aksharkala - Pune Schools415/B HingneS.P. College, Pune-Phone:",+91 (20) 24250440 ,,,Maharashtra State
"Aksharsparsh, Pune",AksharsparshAddress: #40/1/B Bhonde Colony Karve RoadCity: PuneState: MaharashtraPincode: 411004Phone: 020-25424915,020-25424915,,,CBSE
"Alard Public School, Pune","Survey No. 50, Hinjawadi Marunje, Near Rajiv Gandhi IT Park,Hinjawadi, Pune","020-66523792, 93, 94","info@alardpublicschool.com, apsprincipal1@gmail.com",http://www.alardpublicschool.com,CBSE
"Alegaonkar High School, Pune",Alegaonkar High SchoolAddress: Elphinston Road KhadkiCity: PuneState: MaharashtraPincode: 411003Phone: 020-25817893,020-25817893,,,Maharastra State
"Alegaonkar Primary School, Pune ","#491 Elphinston Road KhadkiPune - 411003 (Maharashtra), India",020-25813655,,,CBSE
"All Girls School, Pune","Erin Nagarwalla School12, Kalyaninagar, Pune - 6",26681166,,,CBSE
"All Saints High School, Pune","All Saints High School, Church Road, Pune-Mumbai Road, Khadaki, Pune, Maharashtra 411003",020 25813969?,,,Maharashtra State
"Alphonsa High School, Pune","Alphonsa Nagar, Kalewadi,Pimpri-Pune 411017",020-27276888,alphonsaschool08@yahoo.com,http://alphonsakalewadi.in/,Maharashtra State
"Aman Setu My School, Pune","Survey No:1424, Sivarkar Vasti, Wagholi Lohegaon Road, Pune - 412207,Maharashtra",+91 88062 89844,feedback.amansetu@gmail.com,http://www.amansetumyschool.com/,Maharastra State
"Ambedkar Memorial High School, Pune","	Solapur Bazar Nr Golibar Maidan, Camp, Pune - 411001",(91)-(20)-26363273,,,Maharashtra State
"Amrita Vidyalayam, Pune","Plot-2, Sector-21, YamunaNagar, Nigdi Pune-411044","020-27662573, 27662682",amritavidyalayamnm@gmail.com,http://pune.amritavidyalayam.org/,Maharashtra State
"Amrita Vidyalayam English Medium, Pune","A/P Baneswar,Taluka- Bhor,Pune, Maharashtra,India",020-27487163,avpune@vsnl.net,,Maharashtra State
"Anand Gurukul, Pune","A P Wadebolbhai, Tal Haveli Dist, 0  (Also serves Pune)","024472062,27052398",,,Maharashtra State
"Andhra High School, Pune","		1264/4, Deccan Gymkhana, Pune - 411004"," +(91)-(20)-64005008,64005006",,,Maharastra State
"Angel High School & Jr College, Pune","Kadam Wakwasti, Loni Kalbhor, Pune - 412201","020-65601882, 9822510762",angelhighschool.loni@gmail.com,http://www.angelianshighschool.com/index.html,Maharashtra State
"Angels Paradise Academy, Pune","Future Towers, Amanora Park Town,Amanora, Magarpatta Road, Hadapsar",9850814646,admin@angelsparadiseacademy.com,,Maharastra State
"Anglo Urdu Boys High School, Pune","Anglo Urdu Boys High SchoolAddress: New Modikhana, Bhavani PethCity: PuneState: MaharashtraPincode: 411001Phone: 020-26446513",020-26446513,info@aubhsjc.com,http://www.aubhsjc.com/,Maharastra State
"Anglo Urdu Girls High School, Pune","2390-B, K.B.H.Road, New Modikhana, Azam Campus, Camp Pune 411 001.","020-26446936, 26446730","aughs@mcesociety.org, info@aughs.org",http://www.aughs.org,Maharashtra State
"Anjuman E Islam Urdu School, Pune","25, Bund Garden Road, Pune - 411001",+(91)-(20)-26128799,,,Maharashtra State
"Ankur English Medium School, Pune"," 		Akshy Apt, Pune Satara Rd, Balaji Nagar, Pune - 411043",(91)-(20)-24368295 ,,,Maharashtra State
"Ankur Kg School, Pune","Ankur Kg School, Range Hills, Khadaki, Pune, Maharashtra 411020",020 25535859?,,,Maharashtra State
"Apang Sahayyakari Sanstha Jeevandhara Vidyalaya, Pune",Apang Sahayyakari Sanstha Jeevandhara VidyalayaAddress: #583 Rasta PethCity: PuneState: MaharashtraPincode: 411011Phone: 020-26336548,020-26336548,,,Maharastra State
"Apostolic Carmel Society, Pune",Apostolic Carmel SocietyAddress: Convent Annexe Lulla Nagar WanawadiCity: PuneState: MaharashtraPincode: 411040Phone: 020-26832980,020-26832980,,,CBSE
"Apte Prashala, Pune","1244, Next To Kohinoor Executive Hotel,Apte Road, Pune - 411004","+(91)-(20)-25532837, 25531996, 25531479",info@vidyamaha.edu.in,www.vidyamaha.edu.in,Maharashtra State
"Aranhas Rosary School, Pune"," 		117 & 118 Shivneri 36 B Madhav Baug, Shivtirth Nagar, Paud Rd, Kothrud, Pune - 411029",(91)-(20)-25410446 ,,,Maharashtra State
"Aranyeshwar Madhyamik Vidyalaya, Pune","	P No 9/2, Shivanand Soc, Dhankavadi, Pune - 411043", 	+(91)-(20)-24374367, 		angel_school@rediffmail.com   ,,Maharashtra State
"Aranyeshwar Shikshan Sanstha, Pune","Aranyeshwar Shikshan SansthaAddress: New #75/65/Old #A701, Kumar Kshitij Shop #87 Sahakar NagarCity: PuneState: MaharashtraPincode: 411009Phone: 020-24224077, 020-24220116","020-24224077, 020-24220116",,,Maharastra State
"Aranyeshwar Vidya Madir, Pune","		S No 85/86, Sahakar Nagar 2, Sahakar Nagar, Pune - 411009",+(91)-(20)-24223618 	,,,Maharashtra State
"Arde Nursery School, Pune","Address: Armament Colony, Pashan ArmamentCity: PuneState: MaharashtraPincode: 411021Phone: 020-25887723",020-25887723,,,CBSE
"Arjun Watumal Sindhu Vidya Bhavan School, Pune",Arjun Watumal Sindhu Vidya Bhavan SchoolAddress: Sindh Society Shop #352 Aundh Ganesh KhindCity: PuneState: MaharashtraPincode: 411007Phone: 020-25882816,020-25882816,,,CBSE
"Army Public School Khadakwasla, Pune","Barrack No.3, NDA Pune",020-25290084,"apskhadakwasla@gmail.com, admin@apskhadakwasla.in, enquiry@apskhadakwasla.in",http://www.apskhadakwasla.in/,CBSE
"Arya Vidya Mandir School, Pune","Maharashi Dayanand Marg, Pimpri, Pune - 411018","+(91)-(20)-27415830,27457407", ,,Maharashtra State
"Ashok Vidyalaya, Pune","	S No 48, Opp New English School Tilak Road, Tilak Rd, Sadashiv Peth, Pune - 411030", 	+(91)-(20)-24477288,,,Maharashtra State
"Ashwini International School, Pune","58/1, Behind Indira College,Tathawade, Pune","7276023177, 7276024177, 9730704598","aispune1234@gmail.com, admin@aispune.com, contact@aispune.com",https://aispune.com,ICSE
"ASM's Geeta Mata English Medium High School, Pune","P 90 C Block, Midc Nr Ibmr Campus, Chinchwad East, Pune-411019",020-27460464,,http://www.asmedu.org/institute-gems.htm,Maharashtra State
"AUB High School & Jr College, Pune","AUB High School & Jr College, 2390-B, K.B. Hidayatullah Road, New Modhikana, , Pune, Pune, Maharashtra 411001",020 26446970?,,,Maharashtra State
"AW Moledina School, Pune","AW Moledina School, Shankar Sheth Road, Bibwewadi, Pune, Maharashtra 411037?",020 26455796?,,,Maharashtra State
"Ayurvidya Mudranalayal, Pune",Ayurvidya MudranalayalAddress: #992 Sadashiv Peth Sadashiv PethCity: PuneState: MaharashtraPincode: 411030Phone: 020-24479055,020-24479055,,,CBSE
"Ayyappa Bhakta Jan Seva Sangh, Pune",Ayyappa Bhakta Jan Seva SanghAddress: #692 Range HillCity: PuneState: MaharashtraPincode: 411020Phone: 020-25691121,020-25691121,,,CBSE
"B K Birla Centre for Education, Pune","B K Birla Centre for EducationPost Box no. 1Talegoan Dabhade, Pin 410 506Taluka  Maval, District Pune",09326460814/09326460815/09326460816,principalbirlacentre@gmail.com,http://www.bkbirlacentre.com/,CBSE
"B K Jhala & Assoc, Pune","158 Nirmal Commercial Center, Bh Giliding Centre, M G Rd, Hadapsar, Pune - 411028","+(91)-(20)-26813536,30922855",,,Maharashtra State
"B T Shahani Navin Hindi English Medium School, Pune","		774, Bhavani Peth, Pune - 411042",+(91)-(20)-26355533,,,Maharashtra State
"B.T. Shahani Navin Hind Primary School, Pune",B.T. Shahani Navin Hind Primary SchoolAddress: #2 Tadiwala Road Kasba PethCity: PuneState: MaharashtraPincode: 411011,,,,Maharastra State
"Babu Bhai Urdu Primary School, Pune","199, Ganesh Peth, Pune - 411002", 	+(91)-(20)-26331074,,,Maharashtra State
"Badriyah Education Society, Pune",Badriyah Education SocietyAddress: #635 Rameshwar Pune City H.O.City: PuneState: MaharashtraPincode: 411002Phone: 020-24473775,020-24473775,,,CBSE
"Badriyah High School, Pune","#635, Raviwar Peth, Pune - 411002",+(91)-(20)-24473775,,,Maharashtra State
"Bai Najamai Nosherwan Dastur Primary and Nursery School, Pune","Lt. Col. Tarapore Road, Camp, Pune","020 2636 2633, Ext. 302/306",,https://primary.dasturschools.in/,Maharashtra State
"Balak Mandir, Pune",Balak MandirAddress: KothrudCity: PuneState: MaharashtraPincode: 411038Phone: 020-25394111,020-25394111,,,Maharastra State
"Bali Niketan, Pune","Bali NiketanNagar RoadDunkirk LinePune, 411014MaharashtraLandmark: Near Chanda Nagar Bus StandPhone: (20)27011046",(20)27011046,,,CBSE
"Baljivan Primary School, Pune","1255, Bhavani Peth, Pune - 411042",(91)-(20)-26352643, 		angel_school@rediffmail.com   ,,Maharashtra State
"Bal-Mitra Montessori School, Pune ","Mont Vert Arcade, Pashan-Sus Road, Pashan, Pune","+91-(020)25870966  |  Cell 9422501402, 9423577856",,,CBSE
"Balvikas Shikshan Sanstha Prathmik Shala, Pune","Balvikas Shikshan Sanstha Prathmik Shala, 423, Somwar Peth, Pune, Maharashtra 411011",020 26121541,,,Maharashtra State
"Bandodkar Primary School, Pune","210, Kelakar Rd, Narayan Peth, Pune - 411030", 	+(91)-(20)-24487819,,,Maharashtra State
"Bansilal R.A. Hindi High School, Pune","Bansilal R.A. Hindi High SchoolRameshwar (Agrasen Bhavan)Shop # 1088,Pune City H.O., Pune-",+91 (20) 24475708,,,Maharashtra State
"Banyan Tree International School, Pune","Shroff Soleno, Near Hotel VTIS, Off Mumbai Banglore Highway, Balewadi – Mhalunge RoadPune, Maharashtra - 411045",020 65292200/ 9323304505/ 9320103331,btisicseschool@gmail.com,www.btis.org.in,ICSE
"Bapusaheb Pawar Prathmik Shala, Pune","	380, Bhavani Peth, Pune - 411042",+(91)-(20)-26434413,,,Maharashtra State
"Basant Primary School, Pune",Basant Primary School74/1 Ghorpade PuneMaharashtra,6361664,,,Maharashtra State
"Bavdhan Primary School English Medium, Pune","S No 19 6, Vidnyannagar Rd, Bawdhan, Pune - 411021",+(91)-(20)-22953509,,,Maharastra State
"Bhandarkar Balak Mandir, Pune",Bhandarkar Balak Mandir441 Budhwar PethPuneMaharashtra,4454083,,,Maharashtra State
"Bharat English School, Pune","	S Nop 19/2 T T Scheme, Nr Police Ground, University Rd, Shivaji Nagar, Pune - 411005", 	+(91)-(20)-25536035,,,Maharastra State
"Bharat Gyan Vigyan Samuday, Pune","Bharat Gyan Vigyan SamudayAddress: #F/9, Adhar Apartment Shop #305 Narayan PethCity: PuneState: MaharashtraPincode: 411030Phone: 020-24434133",020-24434133,,,CBSE
"Bharat High School, Pune","	784, Budhwar Peth, Pune - 411002", 	 	+(91)-(20)-24458463,,,Maharashtra State
"Bharat Mudran Mandir, Pune",Bharat Mudran MandirAddress: Patil Estate Shop #2/35 Shivajinagar H.OCity: PuneState: MaharashtraPincode: 411005Phone: 020-25512517,020-25512517,,,CBSE
"Bharati Vidyapeeth English Medium School Balewadi, Pune","Bharati Vidyapeeth English Medium School Balewadi, Flat No1, Plot No 55, Prathamesh Apartment, Right Bhusari Colony, 98/1 To 7, Kothrud, Pune, Maharashtra 411029",020 25121845?,,,Maharashtra State
"Bharati Vidyapeeth Kanya Prashala, Pune","Bharati Vidyapeeth Kanya PrashalaAddress: #130, School Building Bharati Pune-Satara Road DhankawadiCity: PuneState: MaharashtraPincode: 411043Phone: 020-24379124, 020-24373340","020-24379124, 020-24373340",,,CBSE
"Bharati Vidyapeeth Primary English Medium School, Pune","		Katraj, Dhankavadi, Pune - 411043","+(91)-(20)-24373340,26996830",,,Maharastra State
"Bharati Vidyapeeth Primary School, Pune","Opp Mamta Dining Hall, Bawdhan, Pune - 411021", 	 	+(91)-(20)-25121845,,,Maharashtra State
"Bharatiya Charitrakosh Mandal, Pune",Bharatiya Charitrakosh MandalAddress: #1206A/45 Jangali Maharaj Road Deccan GymkhanaCity: PuneState: MaharashtraPincode: 411004Phone: 020-25532762,020-25532762,,,CBSE
"Bharatiya Vidya Bhavan, Pune","S No 407/408, Bvb Chowk, Off Senapati Bapat Rd, Model Colony, Pune - 411016"," +(91)-(20)-25653413,25657372,25656137", ,www.bvbpune.org,Maharastra State
"Bharatiya Yuvak Kalyan Vyayam Kendra, Pune",Bharatiya Yuvak Kalyan Vyayam KendraAddress: #5 Karve Nagar NavasahyadriCity: PuneState: MaharashtraPincode: 411052Phone: 020-25469130,020-25469130,,,CBSE
"Bhartiya Sindhu Sabha, Pune","Bhartiya Sindhu SabhaAddress: #105, Clover Center Moledina Road Kasba PethCity: PuneState: MaharashtraPincode: 411011Phone: 020-26140466",020-26140466,,,CBSE
"Bhartiya Vidyapeeth Primary School, Pune","Bhartiya Vidyapeeth Primary SchoolC 14, Balaywade PuneMaharashtra",7291698,,,Maharashtra State
"Bhaskaracharya Pratishthan, Pune","Bhaskaracharya Pratishthan, Gokhalenagar, Pune, Pune, Maharashtra 411029",020 25434547?,,,Maharashtra State
"Bhavan's Chhabria Nursery School, Pune","Bhavan's Chhabria Nursery SchoolBharatiya Vidya Bhavan Chowk, Dr. K.M. Munshi Marg,407-408, Shivajinagar, Off. Senapati Bapat Marg, Pune ",020-25653413/7372 ,bvbpk@vsnl.com,,CBSE
"Bhavan's Paranjape Vidya Mandir, Pune","Bhavan's Paranjape Vidya MandirS.No. 40, Hissa No.1, 2 & 3, Near `Rutuparna"",KPIT, Near Kothrud Telephone ExchangeKothrud, PUNE", 020-25388837/25388710 ,,,Maharastra State
"Bhavan's Sulochana Natu Vidya Mandir, Pune","Bhavan's Sulochana Natu Vidya MandirBharatiya Vidya Bhavan Chowk, Dr. K.M. Munshi Marg,407-408, Shivajinagar, Off. Senapati Bapat Marg, Pune", 020-25653413/7372 ,bvbpk@vsnl.com,,CBSE
"Bhavsar Kshatriya Dnyati Mandal, Pune",Bhavsar Kshatriya Dnyati MandalAddress: #619 Rameshwar Pune City H.O.City: PuneState: MaharashtraPincode: 411002Phone: 020-24476315,020-24476315,,,CBSE
"Bhikoba Tambe Memorial High School, Pune","Link Rd, Kalewadi, Pune - 411017",+(91)-(20)-27270238,,,Maharashtra State
"Billimoria High School, Pune","	Vill-Panchagani Tal-Satara, 0  (Also serves Pune)","(91)-2168240255,952168240910",,,Maharashtra State
