School Name,Address,Phone number,Details
Aajol Preschool - Navi Peth,"Main Branch:- Yashkamal Bunglow, A-1/17, Rambaug Colony, 
Near Dyananal Mangal Karyala, Navi Peth   Pune - 411030, Maharashtra, India","9921298205, 9822917701",Play - Nursery Private School Co-Educational School 
Aajol Preschool - Suncity,"Ambar, Plot No. 50, Dhanalaxmi Sahakari Society, Near Union Bank of India, 
Suncity Road, Hingne Khurd, Sinhagad Road   Pune - 411014, Maharashtra, India","9657708158, 9423014507",Play - Nursery Private School Co-Educational School 
Aajol Preschool - Warje,"Survey No. 116/6/1, Mumbai Bangalore Expressway, Warje, Near R square, Opp. Vinayak Hospital   Pune - 411058, Maharashtra, India","9850978349, 9423014507",Play - Nursery Private School Co-Educational School 
Aarambh Montessori House of Children,"Row House No. 1, Sayali Villa, Near Ganraj Mangal Karyalaya, 
Beside Anjor Society, Baner   Pune - 411045, Maharashtra, India",8600018659,Play - Nursery Private School (Montessori) Co-Educational School 
Aarya Medium Play School,"Pawar Vasti, Hadapsar   Pune - 411028, Maharashtra, India",9270119664,Play - Nursery Private School Co-Educational School 
Aaryans Fun School - Bharati Vidyapeeth,"E2, Patang Plaza, Phase 5, Opp. PICT College, Near Sachhai Mata Mandir, Behind Bharati Vidyapeeth   Pune - 411043, Maharashtra, India",(020)-32402800,Play - Class V CBSE Board Private School Co-Educational School 
Aaryans Fun School - Bibvewadi,"Above IDBI Bank, Near Pushpa Mangal Karyalaya, Bibvewadi Road   Pune - 411037, Maharashtra, India",(020)-24231007,Play - Class V CBSE Board Private School Co-Educational School 
Aaryans Fun School - Dhayri,"'Fulora' Bunglow, Ganesh Nagar, Next Lane of Paranjapeâ€“Akashdeep Scheme, Dhayri   Pune - 411046, Maharashtra, India",9371234488,Play - Class V CBSE Board Private School Co-Educational School 
Aaryans World School - Anand Nagar,"Ramanika' Mahalaxmi Soc., Lane No. 4, Opp. Santosh Hall, Sinhgad Road, Anand Nagar   Pune - 411051, Maharashtra, India",9372024488,Play - Nursery Private School Co-Educational School 
Aaryans World School - Balaji Nagar,"Vaibhav Society, Behind Khushboo Hotel, Satara Road, Balajinagar, Dhankwadi   Pune - 411043, Maharashtra, India",9373234488,Play - Nursery Private School Co-Educational School 
Aaryans World School - Bhilarewadi,"Aaryans Valley, Satara Road, Bhilarewadi, Next to R.K. Transport, Before Old Katraj Ghat, Tal. Haveli   Pune - 411046, Maharashtra, India",9373434488,Play - Class X CBSE Board Private School Co-Educational School 
Aaryans World School - Bibvewadi,"Funschool, Above IDBI Bank, Near Pushpa Mangal Karyalaya, Bibvewadi Road   Pune - 411037, Maharashtra, India",(020)-24231007,Play - Nursery Private School Co-Educational School 
Aaryans World School - Dattanagar,"41/4, Ambegoan Budruk, Near Ashoka Agam, Mumbai Pune Bypass Road, Dattanagar   Pune - 411046, Maharashtra, India",9370244488,Play - Nursery Private School Co-Educational School 
Aaryans World School - Dhayari,"'Fulora' Next to Paranjape - Akashdeep Scheme, Ganesh Nagar, Dhayri   Pune - 411041, Maharashtra, India",9371234488,Play - Class X CBSE Board Private School Co-Educational School 
Aaryans World School - Gokul Nagar,"58/8, Gokul Nagar Chowk, Katraj - Kondhwa Road, Opp. Chate Coaching Classes   Pune - 411046, Maharashtra, India",9527044488,Play - Class X CBSE Board Private School Co-Educational School 
Aaryans World School - Karve Nagar,"Plot No. 15, Hemanjali Building, Opp. Vitthal Mandir, Madhusanchay Society, Karve Nagar   Pune - 411052, Maharashtra, India",9527844488,Play - Nursery Private School Co-Educational School 
Aaryans World School - Mayur Colony,"35 ""RAMPRAHAR"", Mrtunjay Co-op Housing Society, Mayur Colony, Kothrud   Pune - 411038, Maharashtra, India",9527644488,Play - Nursery Private School Co-Educational School 
Aaryans World School - Narhe,"Sr. No. 56, Pune - Banglore Bypass, Just Ahead of Navale Bridge   Pune - 411041, Maharashtra, India",9527344488,Play - Nursery Private School Co-Educational School 
Aaryans World School - Warje,"Near Jijai Garden, Behind Bombay Cambridge School, Warje   Pune - 411037, Maharashtra, India",9527744488,Play - Class X CBSE Board Private School Co-Educational School 
Abasaheb Atre English Medium High School,"Plot No. 352, Station Raod, Somwar Peth   Pune - 411011, Maharashtra, India",9960479706,High Secondary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Abasaheb Atre English Medium Pre-Primary and Primary School,"352, Opposite to Ladkat Petrol Pump   Pune - 411011, Maharashtra, India",(020)-26129561,Nursery - Class V Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Abasaheb Atre Marathi Day High School and Junior College,"352, Opposite to Ladkat Petrol Pump   Pune - 411011, Maharashtra, India",(020)-26120449,High Secondary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School Established in 1927 
Abasaheb Atre Night High School and Junior College,"352, Opposite to Ladkat Petrol Pump   Pune - 411011, Maharashtra, India",(020)-26129561,High Secondary School Private School Co-Educational School 
ABC Montessori - Dhayari,"S.No. 161/, Nana RaikarChowk, Raikar Mala Road, Dhayari   Pune - 411041, Maharashtra, India","9890622032, Toll Free No. 1800-1370-130",Play - Nursery Private School (Montessori) Co-Educational School 
ABC Montessori - Moshi,"Plot No. 208, Sectoe 4, Near Kendriya Vihar Gate No. 2, Sant Nagar PCNTDA, Moshi   Pune - 412105, Maharashtra, India","9422001103, Toll Free No. 1800-1370-130",Play - Nursery Private School (Montessori) Co-Educational School 
Abdul Wahed Urdu Primary School,"1133/8, Saifee Street, Behind Victory Theatre, Camp   Pune - 411037, Maharashtra, India",(020)-26134864,Kindergarten - Class IV Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Abeda Inamdar Junior College for Girls,"2390-B, K.B. Hidayatullah Road, Azam Campus   Pune - 411001, Maharashtra, India",(020)-26448730,Senior Secondary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Girls Only School 
Abhimaan High School,"Sector 27-A, Nigdi   Pune - 411044, Maharashtra, India",(020)-27657049,High Secondary School Private School Co-Educational School 
Abhinav Education Societys English Medium School and Junior College,"No. 13, Ambegaon(Bk), Katraj - Dehu Road Bypass   Pune - 411046, Maharashtra, India","9146187406, 9146187407",Nursery - Class XII Private School Co-Educational School 
Abhinav English School,"Sr.No. 23/3/2/2, A/P- Narhe, Katraj, Mumbai Bypass Highway, Tal- Haveli   Pune - 411041, Maharashtra, India","7447443601, 7447443602",CBSE Board Private School Co-Educational School Established in 2009 
Abhinav Public School,"No. 659-660, Manjari Theur Road, Kolwadi, Tal Haveli   Pune - 412110, Maharashtra, India","9067546711, 880630062",Nursery - Class XII CBSE Board Private School Co-Educational School 
Abhinav Vidyalaya English Medium High School,"Null Stop, Deccan Gymkhan   Pune - 411004, Maharashtra, India",(020)-25442812,High Secondary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Abhinav Vidyalaya English Medium Primary School,"102/103 Erandavana, Off Paud Phata   Pune - 411038, Maharashtra, India",(020)-25443937,Primary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School Established in 1973 
Abhinav Vidyalaya Pre-Primary Marathi Medium School,"Erandavane, Karve Road   Pune - 41100, Maharashtra, India",(020)-25468540,Play - Nursery Private School Co-Educational School 
Abhinava Vidyalaya English Medium High School,"47/16, Karve Road   Pune - 411004, Maharashtra, India",(020)-25442812,High Secondary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School Established in 1972 
Abhinava Vidyalaya English Medium Pre-Primary School,"47/9A, Erandavane, Off  Karve Road, Nal  Stop   Pune - 411004, Maharashtra, India",(020)-25433063,Nursery - Class V Private School Co-Educational School 
Abhinava Vidyalaya English Medium Primary School,"102/103, Erandavana, off Paud Phata   Pune - 411038, Maharashtra, India",(020)-25443937,Primary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School Established in 1973 
Abhishek Vidyalayam,"Plot No. GP 128 MIDC, G-Block, Shahunagar   Pune - 411019, Maharashtra, India",(020)-27493229,Nursery - Class XII Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School Established in 2004 
Academic Heights Public School - AHPS Pune,"Gat No. 1660/2, Baghwasti, Patil Nagar, Near Indraprast Mangal Karyalay, Chikhali   Pune - 412114, Maharashtra, India","8888282872, 7276108877",Senior Secondary School CBSE Board Private School Co-Educational School 
Acharya Shri. D.B. Dadawala Junior College,"Prof. J.P. Trivedi Vidya Bhavan, 1433, Kasba Peth   Pune - 411011, Maharashtra, India",(020)-24577291Fax : (020) 24577291,Nursery - Class V Private School Co-Educational School 
Adarsh Open School,"174, Mahatma Gandhi Road, Camp, PMC   Pune - 411001, Maharashtra, India","9372420996, 9822621579",High Secondary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Adarsh Vidya Mandir,"#95, Mahadeo Nagar, Hadapsar   Pune - 412307, Maharashtra, India",(020)-26996812,High Secondary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Adarsha School,"#1367, Shukrawar Peth, Peth Pune City H.O.   Pune - 411002, Maharashtra, India",(020)-24477306,CBSE Board Private School Co-Educational School 
Adarsha Shikshan Mandali School,"47/17, Erandawane, Karve Road   Pune - 411004, Maharashtra, India",(020)-25447209,Play - Class X CBSE Board Private School Co-Educational School 
Adarsha Vidyalaya Girls High School,"#1367/68 Shukrawar Peth   Pune - 41100, Maharashtra, India",(020)-24476542,High Secondary School CBSE Board Private School Girls Only School 
Adhar,"Gat No. 286, Village Pimpalgaon (Dukra), Ghoti - Sinner Road, 
Sakur Phata, Behind Indian Oil Petrol Pump, Tal - Igatpuri   Pune - 422502, Maharashtra, India","8605014540, 7447476047",Private School (School for Gifted Children) Co-Educational School 
Adhar Muk Badhir Vidyalaya,"Survey No. 670/71, Main Road, Bibvewadi, GTMM Boys Chowk
   Pune - 411037, Maharashtra, India","(020)-24281329, 24281592, 24282252",Private School (School for Deaf and Dumb) Co-Educational School 
Aditya English Medium School,"Sector 17, Dhankude Nagar, Baner   Pune - 411045, Maharashtra, India",7020302743,Nursery - Class X CBSE Board Private School Co-Educational School 
Aditya School,"Gut No. 76, Late Vilasrao Tambe Educational Campus, Dudulgaon, Alandi Devachi   Pune - 412105, Maharashtra, India",7378567771,Private School Co-Educational School 
Agarkar High School for Girls,"Survey No. 442, Somwar Peth, Near Appolo Cinema   Pune - 411011, Maharashtra, India",(020)-26127166,High Secondary School CBSE Board Private School Girls Only School 
AGM Daycare and Playgroup,"Flat No. 7, Water Lilly, E-Part 4, 2nd Floor, Sukhwani Campus, Sant Tukaram Nagar, Pimpri   Pune - 411018, Maharashtra, India","7620942426, 8657667530, 9860621861",Play School Private School Co-Educational School 
Agrasen High School,"S.No. 239/2, Yerwada   Pune - 411006, Maharashtra, India",(020)-26694256,High Secondary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School Established in 1984 
Ahilya Devi High School for Girls,"393, Holkar Wada, Shaniwar Peth   Pune - 411030, Maharashtra, India",(020)-24450690,High Secondary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Girls Only School Established in 1939 
Ahilyadevi High School for Girls,"Holkar Castle, Peth   Pune - 411030, Maharashtra, India",(020)-24450690,Nursery - Class X Maharashtra State Board of Secondary and Higher Secondary Education Private School Girls Only School 
Ahura English Medium School,"N I B M Road Kondhwa, Wanowri, Pune, Maharashtra 411040   Pune - 411040, Maharashtra, India",(020)-25120276,Nursery - Class X Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
AI's Ahmed Peermohammed English Medium High School,"25, Bund Garden Road   Pune - 411001, Maharashtra, India",(020)-26120394Fax : (020) 26128799,High Secondary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Air Force School Chandan Nagar,"9 BRD, Pune Nagar Road, Chandan Nagar   Pune - 411014, Maharashtra, India",(020)-27019046,Senior Secondary School CBSE Board Government School (Air Force) Co-Educational School Established in 1965 
Air Force School Viman Nagar,"Air Force Campus, Viman Nagar   Pune - 411014, Maharashtra, India",(020)-26633451Fax : (020) 26630112,Senior Secondary School CBSE Board Government School (Air Force) Co-Educational School 
Akhil Maharashtra Education Society's English School,"203, Swagat Residency, Kumbare Township, Kothrud   Pune - 411038, Maharashtra, India","9423002267, 9850975158",High Secondary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School Established in 2005 
Akshar Nursery School,"Bhekrai Nagar, Fursungi   Pune - 412308, Maharashtra, India",9011043898,Play - Nursery Private School Co-Educational School 
Akshara International School,"S.No. 109, Opp. Prerana Bhavan, Wakad   Pune - 411057, Maharashtra, India",9225669778,Nursery - Class XII CBSE Board Private School Co-Educational School 
Aksharnandan School,"Survey No. 103, Bahirat Wadi, Shivaji Housing Society, Senapati Bapat Road   Pune - 411016, Maharashtra, India","(020)-25632224, 25637513",Nursery - Class X Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Alard Public School,"Survey No. 50, Marunje, Near Rajiv Gandhi, IT Park, Hinjawadi

   Pune - 411057, Maharashtra, India",9579279090,Nursery - Class XII CBSE Board Private School Co-Educational School 
Alegaonkar High School,"Elphinston Road, Near Kirloskar Company   Pune - 411003, Maharashtra, India","(020)-25817893, 27657244",High Secondary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Alphonsa High School,"Alphonsa Nager, Kalewadi, Pimpri   Pune - 411017, Maharashtra, India","(020)-27276888, 27275888",Nursery - Class X Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School Established in 1987 
Aman Setu My School,"90/1/2/3, Wagholi Road   Pune - 411047, Maharashtra, India",8055868880,Nursery - Class X Private School Co-Educational School 
Amanora School,"Amanora Park Town, No. 194, Village Sade Satara Nali, Malwadi Road, Hadapsar-Kharadi Bypass   Pune - 411028, Maharashtra, India",7304491111,Nursery - Class X CBSE Board Private School Co-Educational School Established in 2010 
Amazing Kids,"Flat No 2 Ajmera Colony, Opposite Datta Mandir, Pimpri   Pune - 411018, Maharashtra, India",9890009192,Play School Private School Co-Educational School 
Amber Nursery and Day Care Centre,"Jai Bhawani Chowk, Shdege Wasti, Near Datt Mandir Road, Wakad   Pune - 411027, Maharashtra, India","9822357192, 9822804932",Play - Nursery Private School Co-Educational School 
Amor Pune Steiner School,"Shalimar Apartment, Gurunanak Nagar, Shankarsheth Road   Pune - 411042, Maharashtra, India",9767437848,Nursery - Class V Private School Co-Educational School 
Amrita Vidyalayam,"Plot 2, Sector 21, Yamuna Nagar, Nigdi   Pune - 411044, Maharashtra, India",(020)-27662573,Kindergarten - Class XII Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Amrita Vidyalayam - Tal Bhor,"A/P, Baneswar, Tal- Bhor   Pune - 412213, Maharashtra, India",(020)-27487163,Kindergarten - Class XII Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Amrutwel Global School,"Pune-Nagar Road, Chakan Chowk, Shikrapur, Taluka- Shirur   Pune - 412208, Maharashtra, India","9226907979, 9130530621",Nursery - Class XII CBSE Board Private School Co-Educational School Established in 2010 
Anandi Palana Ghar,"Opp. Brahama Hotel, Sinhagad Road-Vadgaon Budruk   Pune - 411041, Maharashtra, India",9270432382,Play School Private School Co-Educational School 
Anandwan Nursery School,"Gururaj Socity, Paud Road, Kothrud Depot   Pune - 411038, Maharashtra, India",9226880312,Play - Nursery Private School Co-Educational School 
Angel High School and Junior College,"Kadam Wakwasti, Loni Kalbhor   Pune - 412201, Maharashtra, India",9822510762,Nursery - Class XII Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School Established in 1987 
Angel Primary School,"Behind Bus Stop, Uruli Kanchan   Pune - 412202, Maharashtra, India",7620708612,Nursery - Class VII Private School Co-Educational School 
Angels Paradise Academy,"Bramha Suncity Society Premises, New Kalyani Nagar, Sainikwadi, Wadgaon Sheri   Pune - 411014, Maharashtra, India",9393520101,Play - Nursery Private School Co-Educational School 
Anglo Urdu Boy's High School and Junior College,"2390 B, KB Hidayatullah Road, New Modikhana, Azam Campus, Camp   Pune - 411001, Maharashtra, India",9890509948Fax : (020) 26456999,Senior Secondary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Boys Only School Established in 1920 
Anglo Urdu Girl's High School,"2390-B, K.B.H. Road, New Modikhana, Azam Campus
   Pune - 411001, Maharashtra, India","(020)-26446936, 26446730",High Secondary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Girls Only School Established in 1937 
Anisha Global School,"S/No. 15, Undri-Mohammadwadi Raod, Kad Nagar, Undri
   Pune - 411028, Maharashtra, India",8087609333,High Secondary School CBSE Board Private School Co-Educational School 
Anjali English School,"Servey No. 40/39, Ram Nagar, Tempo Chowk,
Vadgaon Sheri   Pune - 411014, Maharashtra, India",(020)-27032143,Nursery - Class X Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Anjuman Islam Peer Mohamed High School,"25, Bund Garden Road   Pune - 411001, Maharashtra, India",9765008166,Class V - Class X Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Anjuman-I-Islam Vm and Dm Pm Urdu Primary School,"25 Bund Garden Road   Pune - 411001, Maharashtra, India",(020)-26168799,Primary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Ankur English Medium School,"7, Satara Road, Balaji Nagar, Dhankawadi   Pune - 411043, Maharashtra, India",(020)-24368295,Nursery - Class V Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Ankur Nursery School,"Siddhivinayak Complex, Sasane Nagar, Hadapsar   Pune - 411028, Maharashtra, India",9604340599,Play - Nursery Private School Co-Educational School 
Ankur Play School,"Atish Complex Leela Park, Shiv Pushpa Park Chowk, Off Suncity Road Sinhagad Road, Anand Nagar   Pune - 411051, Maharashtra, India","9923717365, 9923446489",Play School Private School Co-Educational School 
Ankur Vidyamandir Primary School,"Gate No.1, Bungalow No. 2, Fergusson College Campus, Shivajinagar   Pune - 411004, Maharashtra, India",7744852663,Private School Co-Educational School 
Anvi Day Care and Play School,"B-104, Gini Bellissimo, Dhanori-Lohegaon Road, Dhanori   Pune - 411015, Maharashtra, India",9561084425,Play School Private School Co-Educational School 
Apang Sahaykari Sanstha's Jeevan Dhara M.R. School,"Near Daruwala Bridge   Pune - 411001, Maharashtra, India","(020)-24271783, 24221915",Private School (School for Gifted Children) Co-Educational School 
Apple Blosom Nursery School,"Villa C7; Prathamnagari (Near Reliance Fresh), Pashan-Sus Road   Pune - 411021, Maharashtra, India",7709046694,Play - Nursery Private School Co-Educational School Established in 2010 
Apple Kids,"Flat No. 1, Shanti Niketan, Near Rose Parade, Off NIBM Road, Kondhwa   Pune - 411048, Maharashtra, India",9843340455,Play School Private School Co-Educational School 
Aranyeshwar Vidya Mandir,"#85/86, Sahakar Nagar No. 2, Sahakar Nagar   Pune - 411009, Maharashtra, India",(020)-24223618,High Secondary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Arde Nursery School,"Armament Colony, Pashan Armament   Pune - 411021, Maharashtra, India",(020)-25887723,High Secondary School CBSE Board Private School Co-Educational School 
Arharest English School,"Suraj Computer, Playgroups, Hadapsar   Pune - 411028, Maharashtra, India",9604540183,Play - Nursery Private School Co-Educational School 
Arjan Watumal Sindhu Vidya Bhavan High School,"352, Sindh Society, Sadhu Vaswani Nagar, Aundh   Pune - 411007, Maharashtra, India",(020)-25882816,Nursery - Class X CBSE Board Private School Co-Educational School 
Army Primary School,"Ashok Nagar, Dehu Road   Pune - 412101, Maharashtra, India",(020)-27670266,Play - Class V CBSE Board Private School Co-Educational School 
Army Public School - APS Dehu Road,"Ashok Nagar,. Dehu Road Cantonment, Dehu Road   Pune - 412101, Maharashtra, India",839060055,Senior Secondary School CBSE Board Government School (Army/Military) Co-Educational School 
Army Public School - APS Dighi,"C/O TB-II, Alandi Road, Dighi

   Pune - 411015, Maharashtra, India",8412908585,Senior Secondary School CBSE Board Government School (Army/Military) Co-Educational School 
Army Public School - APS Khadakwasla,"APS Khadakwasla, Barrack No. 3   Pune - 410023, Maharashtra, India",8975454500,Class I - Class VIII CBSE Board Government School (Army/Military) Co-Educational School 
Army Public School - APS Kirkee,"Kirkee, C/O HQ BEG & Centre   Pune - 411003, Maharashtra, India",(020)-26683454,Senior Secondary School CBSE Board Government School (Army/Military) Co-Educational School 
Army Public School - APS Pune,"Near Ghorpadi Market, Opposite Bank of Maharashtra, Ghorpadi   Pune - 411001, Maharashtra, India",7219167455,Class I - Class XII CBSE Board Government School (Army/Military) Co-Educational School 
Arya English Medium School,"Sr. No 204, Pune-Solapur Road, Sadesatra Nali, Hadapsar   Pune - 411028, Maharashtra, India",9922846557,High Secondary School CBSE Board Private School Co-Educational School 
Arya Vidya Mandir School,"Maharshi Dayanand Marg, Pimpri   Pune - 411018, Maharashtra, India",(020)-27415830,High Secondary School CBSE Board Private School Co-Educational School 
As-Suffa Nursery School,"Galaxy A3, Flat No. 2, Kausar Baugh, NIBM Kondhwa Road, Kondhwa Khurd, Pop Sheza Mart   Pune - 411048, Maharashtra, India","9823018786, 9867867151",Play - Nursery Private School Co-Educational School 
Ascent International Schools,"Opposite Sai-Sneha Hospital, Khed-Shivapur, Tal. Haveli   Pune - 412205, Maharashtra, India","9921211333, 9921211777",CBSE Board Private School Co-Educational School 
Asha,"School for children with neurological deficit from 3 months to 20 years
No 8, Jijamata Road, Near HQ Poona   Pune - 411001, Maharashtra, India",(020)-26102441,Private School (School for Gifted Children) Co-Educational School 
Aura Kids Preschool and Daycare,"Khedkar Heights, Sant Dnyaneshwar Conoly, Opp. D-Mart, Jyotibanagar, Kalewadi
   Pune - 411017, Maharashtra, India","9890088882, 9011057167",Play - Nursery Private School Co-Educational School 
B.T. Shahani Navin Hind High School,"774, Bhawani Peth   Pune - 411001, Maharashtra, India",9881549674,High Secondary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Babu Bhai Urdu Primary School,"199, Nadigali, Ganesh Peth   Pune - 411002, Maharashtra, India",9175931298,Primary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
Baby Foots Play School,"Plot No. 535, Sector No. 28, Mahalsakant Chowk, Nigdi   Pune - 411044, Maharashtra, India",9923905604,Play School Private School Co-Educational School 
BabyBees DayNight Care Centre,"Plot No. 7, Omkar Society, Part 2, Katraj - Kondhwa Road, Bibwewadi Annex, Rajas Society, Katraj   Pune - 411046, Maharashtra, India","7021454541, 9922503933",Private School Co-Educational School 
Bachpan A Play School - Baner,"Marigold Row, House No. 2, Near Yuthika Apartment, Veerbhadra Nagar, Lane-8, Baner   Pune - 411045, Maharashtra, India","7507090264, 7507021678",Play - Nursery Private School Co-Educational School 
Bachpan A Play School - Bhagwasti,"Gate No. 1660/2, Patil Nagar, Near Indraprasth Mangal Karyalay, Bhagwasti, Chikhali   Pune - 412114, Maharashtra, India","8888282872, 9975718877",Play - Nursery Private School Co-Educational School 
Bachpan A Play School - Charoli,"Gandharv Park, Near Bhairav Nath Mandir, Kaljewadi, Tal Khed, Charoli (BK)   Pune - 412105, Maharashtra, India","9689002997, 9156502848",Play - Nursery Private School Co-Educational School 
Bachpan A Play School - Chikhali,"Shop No. 4 to 8, River Residency Building No. A-16, Gat No. 90, Behind Fine Weigh Bridge, Dehu-Alandi Road, Tal- Haveli, Chikhali   Pune - 412114, Maharashtra, India",9552501413,Play - Nursery Private School Co-Educational School 
Bachpan A Play School - Hadapsar,"Kakade Villa, Mulberry Garden, Bunglow No. 30, Magarpatta City-Hadapsar   Pune - 411028, Maharashtra, India","9764093377, 9168043377",Play - Nursery Private School Co-Educational School 
Bachpan A Play School - Khaperkhed,"Next to Vishal Jeen, Near Mundhada Petrol Pump, Nandura Road, Khaperkhed, At PO Belad, Taluka Malkapur   Pune - 443102, Maharashtra, India","8275285041, 9689907628",Play - Nursery Private School Co-Educational School 
Bachpan A Play School - Lohegaon,"87, Lane No. 2 Moze Nagar, DY Patil College Road, Lohegaon   Pune - 411047, Maharashtra, India",7276870469,Play - Nursery Private School Co-Educational School 
Bachpan A Play School - Nanded City,"SN 10 Ek nath Samriti, Near Kumudini Ice factory Nanded, Near Nanded City   Pune - 411041, Maharashtra, India","7066188787, 8668384877",Play - Nursery Private School Co-Educational School 
Bachpan A Play School - Pimple Nilakh,"Sai Chowk, Jagtap Dairy, Pimple Nilakh   Pune - 411019, Maharashtra, India",(020)-65290760,Play - Nursery Private School Co-Educational School 
Bachpan A Play School - Samarth Nagar,"Dhadge Sadana, 265/Survey No. 3, Dighi Samarth Nagar, Alandi Road   Pune - 411015, Maharashtra, India",9552595167,Play - Nursery Private School Co-Educational School 
Bachpan Play School,"87, Lane No. 2 Moze Nagar D.Y. Patil College Road, Lohegaon   Pune - 411047, Maharashtra, India","9890061736, 7000408600, 7000408600",Play School Private School Co-Educational School 
Badhir Muk Shikshan Kendra,"805, ""Smruti"" Bhandarkar Road, Shivajinagar   Pune - 411004, Maharashtra, India",(020)-25673296,Private School (School for Deaf and Dumb) Co-Educational School Established in 1973 
Badhir Muk Shikshan Kendra - Khadkwasla,"NDA, Khadkwasla   Pune - 411023, Maharashtra, India",(020)-25293713,Private School (School for Deaf and Dumb) Co-Educational School 
Badhir Muk Vidyalaya,"Sector 26, Sindhu Nagar, Pradhikaran, Nigadi   Pune - 411044, Maharashtra, India",(020)-27659570,Private School (School for Deaf and Dumb) Co-Educational School Established in 1981 
Badriyah High School,"635, Raviwar Peth   Pune - 411030, Maharashtra, India",(020)-24473775,High Secondary School Maharashtra State Board of Secondary and Higher Secondary Education Private School Co-Educational School 
